s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-3.1995417E-001,-5.9503590E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2590453E-001, 0.0000000E+000, 0.0000000E+000
 1.7960531E-001, 1.0501852E+006, 2.2177910E-003, 1.7451618E+004, 1.1189511E-004, 3.8472418E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0103743E+002, 1.0680215E+006, 7.9964697E+002, 7.9964697E+002
 3.5921061E-001, 3.9686509E+006,-1.8443039E+004, 6.5847743E+004,-1.9933255E+002, 1.1132353E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0594314E+006, 4.0169695E+006, 1.5503392E+003, 1.5503392E+003
 5.3881592E-001, 6.8044174E+006,-3.6229983E+005, 1.0578835E+005,-2.2774867E+003, 1.5838032E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9581423E+006, 6.5472122E+006, 2.2144184E+003, 2.2144184E+003
 7.1842122E-001, 7.0845208E+006,-3.2122254E+006, 6.7678317E+004,-5.6358132E+003, 1.3072920E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5126276E+006, 3.9356451E+006, 2.7716972E+003, 2.7716972E+003
 8.9802653E-001, 6.4653752E+006,-1.7383167E+006, 7.5656999E+004,-3.3199624E+003, 2.1562489E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9585076E+006, 4.8015518E+006, 3.2190222E+003, 3.2190222E+003
 1.0776318E+000, 6.9086355E+006,-3.7344593E+006, 5.2329759E+004,-4.7999703E+003, 1.2886289E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7556861E+006, 3.2229946E+006, 3.5654499E+003, 3.5654499E+003
 1.2572371E+000, 6.2256883E+006,-2.9587513E+006, 5.2382674E+004,-5.2113265E+003, 1.2844063E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2169088E+006, 3.3153927E+006, 3.8263671E+003, 3.8263671E+003
 1.4368424E+000, 6.1880941E+006,-1.8607329E+006, 6.9207203E+004,-5.8104155E+003, 5.8109100E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2847876E+006, 4.3913391E+006, 4.0187864E+003, 4.0187864E+003
 1.6164477E+000, 6.4860103E+006,-4.2213917E+006, 3.7912718E+004,-7.0981323E+003, 7.2375916E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3512798E+006, 2.2961570E+006, 4.1584980E+003, 4.1584980E+003
 1.7960531E+000, 6.0517738E+006,-2.1782308E+006, 6.1837373E+004,-6.8625883E+003, 4.4335272E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2944181E+006, 3.9289611E+006, 4.2587968E+003, 4.2587968E+003
 1.9756583E+000, 5.4828410E+006,-2.6598632E+006, 4.6839729E+004,-7.5338461E+003, 3.9449451E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8868551E+006, 2.8626781E+006, 4.3302171E+003, 4.3302171E+003
 2.1552637E+000, 5.3645840E+006,-1.8725237E+006, 5.6390560E+004,-7.4262336E+003, 2.8013037E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8501859E+006, 3.5413047E+006, 4.3807791E+003, 4.3807791E+003
 2.3348689E+000, 5.3411240E+006,-1.1286853E+006, 6.7706479E+004,-7.6221869E+003, 2.1448295E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5117757E+006, 4.2727375E+006, 4.4164276E+003, 4.4164276E+003
 2.5144742E+000, 3.2830979E+006, 1.8118488E+006, 8.0870364E+004,-7.9333084E+003, 1.5770472E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2444111E+006, 5.1680415E+006, 4.4414885E+003, 4.4414885E+003
 2.6940796E+000, 4.1323383E+006, 5.7678124E+005, 7.5364313E+004,-8.7083621E+003, 1.4153220E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1367414E+006, 4.7759171E+006, 4.4590704E+003, 4.4590704E+003
 2.8736849E+000, 8.0193990E+006,-2.4555984E+006, 8.8429660E+004,-9.3307546E+003, 1.2883896E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7512297E+006, 5.6430284E+006, 4.4713876E+003, 4.4713876E+003
 3.0532901E+000, 6.0006941E+006,-2.1009809E+005, 9.3119978E+004,-9.8541976E+003, 1.3829484E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6109879E+006, 5.8740001E+006, 4.4800080E+003, 4.4800080E+003
 3.2107360E+000, 1.0255293E+007,-3.6531899E+006, 1.0545607E+005,-1.0624999E+004, 1.4483127E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8436123E+006, 6.6970792E+006, 4.4854042E+003, 4.4854042E+003
 3.3681819E+000, 1.0075804E+007,-2.6557846E+006, 1.1795060E+005,-1.1717238E+004, 1.3464975E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6609715E+006, 7.5263876E+006, 4.4893469E+003, 4.4893469E+003
 3.5096896E+000, 9.4967911E+006,-2.4577774E+006, 1.1381547E+005,-1.2560876E+004, 1.5514481E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4772803E+006, 7.1404235E+006, 4.4919746E+003, 4.4919746E+003
 3.6511970E+000, 1.2144133E+007,-1.9154268E+006, 1.5874948E+005,-1.3475323E+004, 1.7275064E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0890935E+006, 1.0374153E+007, 4.4939556E+003, 4.4939556E+003
 3.7927046E+000, 1.1400323E+007,-4.5064617E+006, 1.1176980E+005,-1.5383407E+004, 2.2071598E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0298990E+007, 6.9904681E+006, 4.4954489E+003, 4.4954489E+003
 3.9177167E+000, 1.0979140E+007,-3.5090168E+005, 1.6445578E+005,-1.5595206E+004, 1.8780089E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9030562E+006, 1.0777286E+007, 4.4964590E+003, 4.4964590E+003
 4.0427289E+000, 1.2310640E+007,-6.4322344E+006, 9.8482877E+004,-1.6681734E+004, 2.6378353E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0697741E+007, 5.9604700E+006, 4.4972458E+003, 4.4972458E+003
 4.1550961E+000, 1.1720513E+007,-3.9897907E+005, 1.7497912E+005,-1.7387602E+004, 1.9217711E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8838247E+006, 1.1479318E+007, 4.4978034E+003, 4.4978034E+003
